trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.001, 'e': 1.0}",20,0,-144.0150223454057,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 3}",0
24,False,"{'a': 0.001, 'e': 1.0}",25,0,-81.782067081323,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.001, 'e': 1.0}",25,0,-188.84437104473074,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
26,False,"{'a': 0.001, 'e': 1.0}",20,0,-106.23951310530968,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.001, 'e': 1.0}",25,0,-45.32128996965031,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.001, 'e': 1.0}",20,9,-55.38414060717708,"{0: 6, 1: 1, 2: 2, 3: 2, 4: 0}",1
29,False,"{'a': 0.001, 'e': 1.0}",25,0,-162.15972382068844,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
30,False,"{'a': 0.001, 'e': 1.0}",25,1,-37.51937358325286,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 0}",1
31,False,"{'a': 0.001, 'e': 1.0}",20,0,-51.572905757903115,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.001, 'e': 1.0}",20,0,-39.61581990400709,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.001, 'e': 1.0}",20,0,-101.83195799091811,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.001, 'e': 1.0}",30,0,-127.59440406244964,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.001, 'e': 1.0}",20,0,-80.75559243150738,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.001, 'e': 1.0}",25,15,-2.615411056116032,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.001, 'e': 1.0}",30,0,-253.2819217089819,"{0: 17, 1: 0, 2: 7, 3: 2, 4: 4}",0
38,False,"{'a': 0.001, 'e': 1.0}",20,6,-13.650021319168737,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.001, 'e': 1.0}",20,0,-64.6554696742404,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.001, 'e': 1.0}",25,0,-112.2195826581645,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
41,False,"{'a': 0.001, 'e': 1.0}",25,0,-139.0244323995753,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
42,False,"{'a': 0.001, 'e': 1.0}",20,0,-12.668349287959268,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.001, 'e': 1.0}",25,0,-93.21916004648331,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.001, 'e': 1.0}",20,0,-114.97060576898866,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.001, 'e': 1.0}",20,0,-144.0728694594724,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.001, 'e': 1.0}",20,0,-139.66693378537326,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.001, 'e': 1.0}",30,0,-169.77853099995258,"{0: 14, 1: 6, 2: 6, 3: 3, 4: 1}",0
48,False,"{'a': 0.001, 'e': 1.0}",25,0,-220.56884608163764,"{0: 8, 1: 4, 2: 9, 3: 2, 4: 2}",0
49,False,"{'a': 0.001, 'e': 1.0}",20,3,-17.615321724628515,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.001, 'e': 1.0}",20,0,-127.25716374471523,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
51,False,"{'a': 0.001, 'e': 1.0}",25,0,-146.04480882274518,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
52,False,"{'a': 0.001, 'e': 1.0}",25,0,-84.4278921968704,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
53,False,"{'a': 0.001, 'e': 1.0}",35,17,-18.725841125134064,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.001, 'e': 1.0}",25,0,-140.3056437124194,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
55,False,"{'a': 0.001, 'e': 1.0}",25,0,-164.16854743767377,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
56,False,"{'a': 0.001, 'e': 1.0}",35,13,-111.30207947481045,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 1}",1
57,False,"{'a': 0.001, 'e': 1.0}",25,0,-186.61165900408952,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
58,False,"{'a': 0.001, 'e': 1.0}",20,0,-63.89789045750074,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
59,False,"{'a': 0.001, 'e': 1.0}",35,0,-169.07553185206956,"{0: 18, 1: 5, 2: 9, 3: 2, 4: 1}",0
60,False,"{'a': 0.001, 'e': 1.0}",20,15,1.1235799300443456,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.001, 'e': 1.0}",20,0,-73.68311522712804,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.001, 'e': 1.0}",25,8,-60.57260581361308,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.001, 'e': 1.0}",25,0,-174.095144803513,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
64,False,"{'a': 0.001, 'e': 1.0}",20,0,-59.7608959665787,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.001, 'e': 1.0}",30,0,-53.86067234442648,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
66,False,"{'a': 0.001, 'e': 1.0}",30,0,-258.9641270038114,"{0: 14, 1: 2, 2: 9, 3: 1, 4: 4}",0
67,False,"{'a': 0.001, 'e': 1.0}",20,0,-102.24383416548856,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.001, 'e': 1.0}",20,7,-65.3563327511877,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.001, 'e': 1.0}",30,0,-69.12053986418574,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
70,False,"{'a': 0.001, 'e': 1.0}",20,13,-1.2895788547528206,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.001, 'e': 1.0}",20,0,-58.24976261771608,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.001, 'e': 1.0}",20,0,-133.11910000980288,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
73,False,"{'a': 0.001, 'e': 1.0}",25,0,-203.76716339576532,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
